objid,ra,dec,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,extinction_r,class,subClass
1237674649927155762,176.53637,-0.41087837,17.78593,17.99037,18.41368,18.81691,19.12482,0.06838275,STAR,WD
1237674649927155762,176.53637,-0.41087837,17.78593,17.99037,18.41368,18.81691,19.12482,0.06838275,STAR,WD
1237674649927155762,176.53637,-0.41087837,17.78593,17.99037,18.41368,18.81691,19.12482,0.06838275,STAR,WD
1237671128051810337,176.44811,-0.51853248,18.8395,18.7371,18.71842,18.58755,18.37166,0.06504742,QSO,BROADLINE
1237671128051810337,176.44811,-0.51853248,18.8395,18.7371,18.71842,18.58755,18.37166,0.06504742,QSO,BROADLINE
1237674649390219503,176.39381,-0.72744359,19.40655,19.1256,19.14902,18.97032,18.90841,0.06602099,QSO,BROADLINE
1237674649390219503,176.39381,-0.72744359,19.40655,19.1256,19.14902,18.97032,18.90841,0.06602099,QSO,BROADLINE
1237674649390219503,176.39381,-0.72744359,19.40655,19.1256,19.14902,18.97032,18.90841,0.06602099,QSO,BROADLINE
1237671128051810337,176.44811,-0.51853248,18.8395,18.7371,18.71842,18.58755,18.37166,0.06504742,QSO,BROADLINE
1237671140943986808,176.23247,-0.36184647,18.48857,18.33225,18.28194,18.31935,18.03268,0.05739008,QSO,BROADLINE
1237671140943986808,176.23247,-0.36184647,18.48857,18.33225,18.28194,18.31935,18.03268,0.05739008,QSO,BROADLINE
1237671140943986808,176.23247,-0.36184647,18.48857,18.33225,18.28194,18.31935,18.03268,0.05739008,QSO,BROADLINE
1237671128588550187,175.89735,-0.49510603,17.29643,17.357,17.15542,16.73632,16.90537,0.05346316,QSO,BROADLINE
1237671128588550187,175.89735,-0.49510603,17.29643,17.357,17.15542,16.73632,16.90537,0.05346316,QSO,BROADLINE
1237671128588550187,175.89735,-0.49510603,17.29643,17.357,17.15542,16.73632,16.90537,0.05346316,QSO,BROADLINE
1237671141480529972,175.54832,-0.89562786,17.94103,17.88858,17.86297,17.72501,17.69066,0.05278445,QSO,BROADLINE
1237674648853086235,175.70065,-1.1823597,18.82506,18.97943,18.77007,18.40725,18.39319,0.04077039,QSO,BROADLINE
1237671141480529972,175.54832,-0.89562786,17.94103,17.88858,17.86297,17.72501,17.69066,0.05278445,QSO,BROADLINE
