#name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g
SDSS J200959.27-115519.92,302.49696,-11.9222,18.49, 0.01,DO/He-sdO, 47489,10000, 6.500
SDSS J200836.41-114629.24,302.15171,-11.77479,16.56, 0.00,He-sdO, 47587,  200, 6.688
SDSS J200815.48-110103.99,302.0645,-11.01778,16.88, 0.00,He-sdO, 50000,  200, 6.500
SDSS J001844.35-093855.14,4.68479,-9.64865,18.63, 0.02,sdB, 20530,  435, 5.000
SDSS J135639.76-092020.90,209.16567,-9.33914,17.39, 0.02,DA,  8578,   17, 8.087
SDSS J220844.19-085857.50,332.18412,-8.98264,16.89, 0.02,DA, 28122,  151, 8.698
SDSS J230407.53-085627.24,346.03138,-8.9409,16.14, 0.02,sdB, 22480,  271, 5.000
SDSS J020519.25-083907.91,31.33021,-8.6522,17.22, 0.00,DA, 19316,   80, 8.024
SDSS J225929.73-082822.68,344.87387,-8.47297,18.93, 0.01,DAH:,  8022, 1000, 8.969
SDSS J140118.80-081722.60,210.32833,-8.28961,16.55, 0.02,ELM-DA,  8679,   12, 6.175
SDSS J081304.04-071306.48,123.26683,-7.21847,18.29, 0.01,He-sdO, 49298,  230, 6.627
SDSS J023948.20-065223.16,39.95083,-6.8731,18.88, 0.02,DA,  7436,   46, 7.919
SDSS J204358.55-065025.87,310.99396,-6.84052,18.18, 0.02,He-sdB, 38298, 1310, 5.590
SDSS J023532.60-063437.81,38.88583,-6.57717,18.36, 0.02,He-sdO, 47457,   23, 6.756
SDSS J023344.36-062515.89,38.43483,-6.42108,17.87, 0.03,DB, 38355,   34, 7.893
SDSS J023543.18-055442.07,38.92992,-5.91169,17.76, 0.01,DA, 18944,  100, 7.876
SDSS J023958.64-053453.51,39.99433,-5.58153,18.7, 0.01,DA, 21460,  250, 7.823
SDSS J131459.83-032530.40,198.74929,-3.42511,18.85, 0.02,DZ,  7029,   21, 8.000
SDSS J211406.66-031846.44,318.52775,-3.3129,18.55, 0.02,DA:Z713,  7114,   34, 8.010
SDSS J232543.79-031831.18,351.43246,-3.30866,18.51, 0.03,DA,  7690,   31, 8.065
SDSS J140622.82-031743.68,211.59508,-3.29547,17.64, 0.01,DC,  8835, 1000, 9.000
SDSS J025358.86-031415.68,43.49525,-3.23769,18.98, 0.02,DA+M4, 10793,  157, 8.780
SDSS J214054.43-031114.19,325.22679,-3.18728,18.95, 0.01,DC, 10000,  230, 6.500
SDSS J000502.51-031011.75,1.26046,-3.16993,17.69, 0.02,DA, 19956,  129, 8.002
SDSS J142523.85-030332.44,216.34938,-3.05901,18.75, 0.02,DA, 10471,   44, 8.308
SDSS J101537.60-030104.44,153.90667,-3.0179,17.3, 0.01,DA, 38682,  192, 9.340
SDSS J104252.01-030054.94,160.71671,-3.01526,17.79, 0.02,DA, 17105,   95, 8.135
SDSS J095613.20-030009.29,149.055,-3.00258,17.14, 0.02,He-sdO,100000, 9000, 5.610
SDSS J140015.81-025830.65,210.06588,-2.97518,18.74, 0.02,DA+M, 45446, 1270, 7.840
SDSS J025341.93-025658.59,43.42471,-2.94961,18.33, 0.01,DBA, 13211,   77, 8.000
SDSS J145231.55-025633.97,223.13146,-2.94277,17.14, 0.02,DAH, 14626,   55, 8.450
SDSS J024519.63-025628.12,41.33179,-2.94114,18.96, 0.01,DC,  9557, 1000, 9.000
SDSS J103248.52-025520.46,158.20217,-2.92235,16.65, 0.02,DBZ, 10350,  500, 7.440
SDSS J141508.10-025430.89,213.78375,-2.90858,16.68, 0.01,DA, 27112,   46, 8.006
SDSS J102840.85-025243.90,157.17021,-2.87886,17.69, 0.02,DA, 81917, 2093, 7.973
SDSS J101420.74-025228.16,153.58642,-2.87449,16, 0.01,He-sdO, 92647, 1533, 5.000
SDSS J000700.97-024956.93,1.75404,-2.83248,18.65, 0.03,DA,  8377,   28, 8.114
