objid,name,ra,dec,gmag,gmag_error,spect_type,t_eff,t_eff_error,log_g,distance
1237668731457241431,SDSS J200959.27-115519.92,302.4969,-11.9222,18.49,0.01,DO/He-sdO,47489,10000,6.5,0.000321504140098033
1237668731457110215,SDSS J200836.41-114629.24,302.1517,-11.77479,16.56,0,He-sdO,47587,200,6.688,0.000232148643833478
1237668758310879994,SDSS J200815.48-110103.99,302.0645,-11.01778,16.88,0,He-sdO,50000,200,6.5,0.000461733696666369
1237652947990806617,SDSS J001844.35-093855.14,4.68479,-9.64865,18.63,0.02,sdB,20530,435,5,0.000915742568704967
1237671990272720977,SDSS J135639.76-092020.90,209.1657,-9.33914,17.39,0.02,DA,8578,17,8.087,0.000779849586450646
1237652599033102363,SDSS J220844.19-085857.50,332.1841,-8.98264,16.89,0.02,DA,28122,151,8.698,0.000421014433554082
1237656539127545929,SDSS J230407.53-085627.24,346.0314,-8.9409,16.14,0.02,sdB,22480,271,5,0.000173040223016012
1237670956791234695,SDSS J020519.25-083907.91,31.33021,-8.6522,17.22,0,DA,19316,80,8.024,0.00303501343469637
1237656539663892684,SDSS J225929.73-082822.68,344.8739,-8.47297,18.93,0.01,DAH:,8022,1000,8.969,0.00136895618718044
1237671958060662946,SDSS J140118.80-081722.60,210.3283,-8.28961,16.55,0.02,ELM-DA,8679,12,6.175,0.00336456411048704
1237676677157748879,SDSS J081304.04-071306.48,123.2668,-7.21847,18.29,0.01,He-sdO,49298,230,6.627,0.000749691195976289
1237679438279802967,SDSS J023948.20-065223.16,39.95083,-6.8731,18.88,0.02,DA,7436,46,7.919,0.00107983180939261
1237652598486990967,SDSS J204358.55-065025.87,310.994,-6.84052,18.18,0.02,He-sdB,38298,1310,5.59,0.000513825501637104
1237679438816215051,SDSS J023532.60-063437.81,38.88583,-6.57717,18.36,0.02,He-sdO,47457,23,6.756,0.000619320145759447
1237673701816860700,SDSS J023344.36-062515.89,38.43483,-6.42108,17.87,0.03,DB,38355,34,7.893,0.001339504712503
